ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1.0
0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0.9695039619088227
0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0.6257798311851596
0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1.0
0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0.6630609798521682
0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1.0
0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1.0
0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1.0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.8920751633986927
0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0.8086581475342638
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1.0
0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1.0
0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1.0
0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0.5704145561542595
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3436058061193387
0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0.14205289342759886
0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.36288178629911766
0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1.0
0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1.0
0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1.0
0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0
0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1.0
0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1.0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1389995228796957
0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1.0
0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.9536746094090949
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1.0
0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.3619160918925663
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0.4440269338734322
0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1.0
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0.15841363422428106
